treatment,sampleHeight,exPeriod,meanRW,seRW,meanRWinc,seRWinc,meancumNCells,secumNCells,meanNCellsinc,seNCellsinc,meanLumenD,seLumenD,meanCWT,seCWT,meanCWTALL,seCWTALL,meancumCWA,secumCWA,meanCWAinc,seCWAinc,meanCWA,seCWA,meanNCells,seNCells,meanLumenDTan,seLumenDTan,meanCWTRad,seCWTRad
chilled,4,before,428,119.09659944767523,428,119.09659944767523,8.472647794064768,2.034212560042537,8.472647794064768,2.034212560042537,43.85295096737346,2.276930276030257,3.001443221550319,0.13994309778265696,2.9586765565545496,0.13371876326938417,4603.172561308065,1234.502020927399,4603.172561308065,1234.502020927399,498.00952415458937,33.71077513022937,0.4104861798574691,0.022547906395096885,33.172031374469405,1.0730504423077838,2.9045579729891893,0.12223523023755387
chilled,4,during,744,232.06895526976456,316,118.55800268223146,16.490421116911172,4.153855020402833,8.017773322846404,2.2985869553615736,30.091428042887344,2.9379731193926406,3.419355179704017,0.2931281274579757,3.505321504077318,0.2499757784337156,8851.661026023936,2673.307709736172,4248.48846471587,1585.9032022486613,460.3963652219873,49.493826616747675,0.5987734938181637,0.07339296239221324,30.12920426841032,0.9885718506830329,3.5608087435819993,0.23640942080634872
chilled,4,after,892,285.4890540808877,148,66.2117814289874,22.668639367954142,5.971515258089846,6.178218251042968,2.084219971162786,15.874669237012988,4.296411025745449,3.6023136498917747,0.2736210884997377,4.368130411255411,0.6208612768081155,11389.919898889564,3287.0902849681324,2538.2588728656283,822.3106853120976,408.88732650162336,25.486098177287847,0.8199782620034978,0.23055440149186562,24.959974029229492,1.7855598077853045,5.052185132575758,0.9516261434470555
chilled,4,2017,944,337.1290554075694,944,337.1290554075694,23.59378615111976,7.596667749038012,23.59378615111976,7.596667749038012,35.75642956834014,1.5826328635939015,3.311333737222936,0.1942489107243797,3.364535540003177,0.1619336973867171,11598.071044666362,4184.184686354072,11598.071044666362,4184.184686354072,468.3427031575207,31.08777013253393,0.5227090544166356,0.028195122564748508,29.941512787253426,0.6774977419047272,3.3908426990381555,0.13713778770977497
chilled,4,2018,892,285.4890540808877,892,285.4890540808877,22.668639367954142,5.971515258089846,22.668639367954142,5.971515258089846,35.3666339698964,2.406427651999896,3.217953023170656,0.1943495864825571,3.3074489147536292,0.18473417004348827,11389.919898889564,3287.0902849681324,11389.919898889564,3287.0902849681324,473.18278542019715,38.701916369592716,0.5570313566958076,0.044021841356985454,31.010762947332204,0.8064985140456553,3.365817866464197,0.18769314220622596
chilled,2.5,before,308,97.6933979345585,308,97.6933979345585,6.6830771388154915,1.8089979551111057,6.6830771388154915,1.8089979551111057,42.811343754879,2.3795022202176357,3.0825748999017906,0.07609104707770128,2.9986687882450704,0.09701536529517887,2973.1073144194193,926.4469584021779,2973.1073144194193,926.4469584021779,512.4564890804597,26.206718956701394,0.41977860804063316,0.023973982160466284,31.949988467491497,1.5347436843316944,2.9116287250384025,0.10750592408324597
chilled,2.5,during,604,195.18196638009363,296,108.33282051160673,13.720487832046874,3.4886428902989026,7.037410693231382,1.8468760658122998,32.42178115280945,4.369837628360007,3.1526558884511715,0.28154700448678627,3.2273678208583867,0.2491043595020199,6025.648806514984,1861.274488484683,3052.5414920955654,1094.3182755956814,443.21709074182587,66.8867253172595,0.5926220300192622,0.08507396504849328,29.88767868117297,1.8228311601519667,3.2708462678830603,0.23165299728625574
chilled,2.5,after,772,292.8890574944718,168,101.31140113531151,18.846263977484877,6.175452240389403,5.125776145438005,2.930210415159079,22.16946105072464,7.078116874738584,3.343709239130435,0.8802814864126526,3.644397644927536,0.8747398878733642,8135.966745238424,3009.669706591503,2110.317938723439,1213.6682894743358,444.49933876811593,90.46407601869593,0.5240809450154555,0.25515202321110003,27.667834659100567,0.7049303747965133,3.9398278985507247,0.9362993072963082
chilled,2.5,2017,936,362.0165742062095,936,362.0165742062095,24.777594494939905,8.461054225861487,24.777594494939905,8.461054225861487,33.48504749130651,0.9732681466182083,3.3374610340479194,0.22421902855097747,3.398443073229139,0.1977794930827835,10073.630760145381,4065.281175117502,10073.630760145381,4065.281175117502,450.5158003436097,35.953727708966305,0.5511939518890712,0.020075539278669053,29.701419077152952,1.4554705792432103,3.3878510521354785,0.18386144118001138
chilled,2.5,2018,772,292.8890574944718,772,292.8890574944718,18.846263977484877,6.175452240389403,18.846263977484877,6.175452240389403,35.878643930905696,1.7859772936002045,3.177682383466207,0.26195615371057723,3.2058923296882855,0.2608248076904492,8135.966745238424,3009.669706591503,8135.966745238424,3009.669706591503,470.91444540750786,43.41231803441417,0.529476122236083,0.030459399888033388,30.332991303171863,1.1308822400410252,3.2121780978417007,0.26639061125447866
